CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Diocletian 415,,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,Broken column,295
RIC V Diocletian 414,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Providentia, draped, seated left, holding baton in right hand and sceptre in left hand; at foot, globe",294
RIC V Diocletian 413,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Providentia, draped, seated left, holding baton in right hand and sceptre in left hand; at foot, globe",292|293
RIC V Diocletian 412,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Providentia, draped, seated left, holding baton in right hand and sceptre in left hand; at foot, globe",294
RIC V Diocletian 411,Pietas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pietas, draped, standing right at altar, raising hands",290
RIC V Diocletian 410,Pietas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pietas, draped, standing right at altar, raising hands",290|293
RIC V Diocletian 409,Pietas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pietas, draped, standing right at altar, raising hands",290
RIC V Diocletian 408,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, sometimes helmeted, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",295
RIC V Diocletian 407,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, sometimes helmeted, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",292|294
RIC V Diocletian 406,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, sometimes helmeted, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",295
RIC V Diocletian 405,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",295
RIC V Diocletian 404,Minerva,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, sometimes helmeted, cuirassed, right, or bust of Maximian, radiate, helmeted, cuirassed, left, holding spear in right hand and shield in left hand, or bust of Maximian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand, sometimes holding globe",Maximian,Gallia,"Minerva, helmeted, draped, standing left, holding olive-branch in right hand and spear in left hand, leaning on shield",292|293
RIC V Diocletian 403,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",289
RIC V Diocletian 402,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, sometimes helmeted, cuirassed, right, or bust of Maximian, radiate, cuirassed, left, seen from behind, holding spear in right hand",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",289
RIC V Diocletian 401,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",290
RIC V Diocletian 400,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",290
RIC V Diocletian 399,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, sometimes helmeted, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre or globe in right hand, or raising right hand, or holding club and sceptre",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",290|294
RIC V Diocletian 398,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, sometimes helmeted, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left, sometimes holding eagle-tipped scetpre in right hand or raising right hand",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",289|293
RIC V Diocletian 397,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",291
RIC V Diocletian 396,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, right or left, holding eagle-tipped scetpre in right hand, or bust of Maximian, radiate, helmeted, cuirassed, left, holding spear and shield",Maximian,Gallia,"Pax, draped, standing left, holding Victory on globe in right hand and sceptre in left hand",289
RIC V Diocletian 395,Pax,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, helmeted, cuirassed, left, holding spear in right hand and shield in left hand",Maximian,Gallia,"Pax, draped, standing or walking left, holding olive-branch in right hand and sceptre in left hand",295
RIC V Diocletian 394a,Sol,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Sol, standing left, raising right hand and holding globe in left hand; on either side, captive",289
RIC V Diocletian 394,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; sometimes at foot, eagle",289
RIC V Diocletian 393,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, helmeted, cuirassed, right",Maximian,Gallia,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; sometimes at foot, eagle",289
RIC V Diocletian 392,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right",Maximian,Gallia,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; sometimes at foot, eagle",289
RIC V Diocletian 391,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; sometimes at foot, eagle",289
